,zen_rec,log10_sb,beta,stationnumber,angle_B,primary
0,0.52484870938862,3.07795049085552,-2.368711129735551,7,0.5028663323836271,unconvphoton
1,0.5214920469222637,3.1097728389670487,-2.373949471674483,9,0.5312687087835717,unconvphoton
2,0.5293605301746575,3.076794485008726,-2.3575222260168616,7,0.5110771713148612,unconvphoton
3,0.5214565271201196,3.0783627659669333,-2.37468192639626,8,0.49583343129597157,unconvphoton
4,0.5426099573418444,3.1687276048372004,-2.3553009398374396,9,0.47637332607347266,unconvphoton
5,0.7830538563964665,3.000570880719232,-2.03976858574446,10,0.19112492587128846,unconvphoton
6,0.7844141854998992,2.934254913159306,-2.0518030123548607,9,0.1896865866990723,unconvphoton
7,0.7743960441524778,3.045109368823966,-2.058921524207472,11,0.2015023707694554,unconvphoton
8,0.744442047606239,3.101493159611954,-2.137252798196967,10,0.5583556991582399,unconvphoton
9,0.7467879065336634,2.9806517047292154,-2.1246238661985886,10,0.569661646793774,unconvphoton
10,0.7256452596218136,2.990262991916346,-2.1676595125945246,7,0.5477893215496913,unconvphoton
11,0.8014330621738818,3.676508892583235,-2.117402979473843,14,0.24850093992226213,unconvphoton
12,0.8030737979374019,3.5632024170756087,-2.1178486038215016,12,0.2444806789406273,unconvphoton
13,0.7916146536052515,3.707762461087833,-2.1008721453156296,13,0.504023131534264,unconvphoton
14,0.7979073302799664,3.619001625020175,-2.098133720940373,12,0.5102343412954633,unconvphoton
15,0.7899044641455457,3.7036051372874406,-2.100356040147996,16,0.4990906907858608,unconvphoton
16,0.7888161603702707,3.662146334431915,-2.131641614039216,15,0.5030452788097806,unconvphoton
17,0.7084301893877005,3.03018772914506,-2.1862935246982382,10,0.9870114825931415,unconvphoton
18,0.7022946845229218,2.910145367541537,-2.1855155123738363,7,0.9883969057122803,unconvphoton
19,0.8090061298823613,2.713730718516049,-2.0014728556698635,8,0.8067006208785916,unconvphoton
20,0.8178136079282855,2.7702652361332314,-1.971404856238805,8,0.8171949267297798,unconvphoton
21,0.7861901456100163,2.7574237236433077,-2.034888583816598,10,0.9683534978801338,unconvphoton
22,0.7281125511967811,3.041301634458894,-2.166046025436231,7,0.43846155950670374,unconvphoton
23,0.7310076067029687,3.144298279514361,-2.1579497291950878,9,0.4339153846864387,unconvphoton
24,0.7282074771928472,3.109534927495466,-2.1688458662252454,9,0.44677964747720067,unconvphoton
25,0.8247143152390299,3.0927548785545667,-1.9483726280391889,11,0.9577364876928942,unconvphoton
26,0.8181342907437799,3.1562938471330177,-1.9576195879533176,11,0.9574848311953226,unconvphoton
27,0.8139987920648899,3.061792039197956,-1.9578210882345362,10,0.9563049595846825,unconvphoton
